Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
gripper-strips_problem_5_7_9_18__0,6071.192264556885,1.0,2,3.0
gripper-strips_problem_5_7_9_19__0,6523.848533630371,1.0,2,3.0
gripper-strips_problem_5_7_9_20__0,5863.365173339844,1.0,2,3.0
gripper-strips_problem_5_7_9_5__0,6099.496603012085,1.0,2,3.0
hanoi_problem_6_101__0,9470.762014389038,1.0,2,1.0
hanoi_problem_6_102__0,6261.180400848389,1.0,2,3.0
hanoi_problem_6_103__0,5194.8957443237305,1.0,2,3.0
hanoi_problem_6_104__0,9318.07804107666,1.0,2,3.0
hanoi_problem_6_105__0,9303.334712982178,1.0,2,3.0
hanoi_problem_6_106__0,9147.125959396362,1.0,2,1.0
hanoi_problem_6_109__0,9115.601778030396,1.0,2,3.0
hanoi_problem_6_110__0,8839.822053909302,1.0,2,3.0
hanoi_problem_6_111__0,7815.697193145752,1.0,2,3.0
hanoi_problem_6_112__0,4915.575981140137,1.0,2,3.0
hanoi_problem_6_114__0,10207.393407821655,1.0,2,3.0
hanoi_problem_6_117__0,9003.338098526001,1.0,2,3.0
hanoi_problem_6_118__0,9256.828784942629,1.0,2,3.0
hanoi_problem_6_119__0,9445.347309112549,1.0,2,3.0
hanoi_problem_6_121__0,8941.595792770386,1.0,2,1.0
hanoi_problem_6_122__0,7819.111108779907,1.0,2,3.0
hanoi_problem_6_123__0,7122.495174407959,1.0,2,3.0
hanoi_problem_6_124__0,6744.355201721191,1.0,2,3.0
hanoi_problem_6_125__0,8996.147155761719,1.0,2,3.0
hanoi_problem_6_126__0,9177.149057388306,1.0,2,3.0
hanoi_problem_6_127__0,9127.415895462036,1.0,2,3.0
hanoi_problem_6_128__0,8695.987701416016,1.0,2,3.0
hanoi_problem_6_129__0,8971.433639526367,1.0,2,3.0
hanoi_problem_6_130__0,4671.993970870972,1.0,2,3.0
hanoi_problem_6_131__0,9329.079627990724,1.0,2,3.0
hanoi_problem_6_132__0,9101.74560546875,1.0,2,3.0
hanoi_problem_6_133__0,10630.886793136597,1.0,2,3.0
hanoi_problem_6_136__0,4505.63645362854,1.0,2,3.0
hanoi_problem_6_137__0,8445.616960525513,1.0,2,3.0
hanoi_problem_6_138__0,6269.30832862854,1.0,2,3.0
hanoi_problem_6_139__0,8724.251985549927,1.0,2,3.0
hanoi_problem_6_140__0,7940.264940261841,1.0,2,3.0
hanoi_problem_6_141__0,8839.072227478027,1.0,2,3.0
hanoi_problem_6_142__0,9493.609189987184,1.0,2,3.0
hanoi_problem_6_143__0,9210.960149765016,1.0,2,1.0
hanoi_problem_6_144__0,10261.229038238524,1.0,2,3.0
hanoi_problem_6_145__0,8936.541080474854,1.0,2,1.0
hanoi_problem_6_147__0,8490.294456481934,1.0,2,3.0
hanoi_problem_6_148__0,10098.94871711731,1.0,2,3.0
hanoi_problem_6_149__0,9018.04232597351,1.0,2,3.0
hanoi_problem_6_150__0,5088.7451171875,1.0,2,3.0
hanoi_problem_6_151__0,9342.0307636261,1.0,2,1.0
hanoi_problem_6_152__0,7738.944292068481,1.0,2,3.0
hanoi_problem_6_153__0,7995.232343673706,1.0,2,3.0
hanoi_problem_6_154__0,9404.983043670654,1.0,2,3.0
hanoi_problem_6_155__0,7815.383195877075,1.0,2,3.0
hanoi_problem_6_156__0,9813.947200775146,1.0,2,3.0
hanoi_problem_6_157__0,4819.87738609314,1.0,2,3.0
hanoi_problem_6_158__0,10435.092449188232,1.0,2,3.0
hanoi_problem_6_159__0,9625.127792358398,1.0,2,3.0
hanoi_problem_6_160__0,8287.158250808716,1.0,2,3.0
hanoi_problem_6_161__0,9567.782163619995,1.0,2,3.0
hanoi_problem_6_162__0,8319.690227508545,1.0,2,3.0
hanoi_problem_6_163__0,9167.860746383669,1.0,2,3.0
hanoi_problem_6_166__0,9362.070322036743,1.0,2,1.0
hanoi_problem_6_168__0,8368.45064163208,1.0,2,3.0
hanoi_problem_6_169__0,8770.309686660767,1.0,2,1.0
hanoi_problem_6_170__0,8490.99063873291,1.0,2,3.0
hanoi_problem_6_171__0,9477.45156288147,1.0,2,3.0
hanoi_problem_6_172__0,10490.225315093994,1.0,2,3.0
hanoi_problem_6_173__0,9751.976490020752,1.0,2,3.0
hanoi_problem_6_174__0,9056.111335754396,1.0,2,3.0
hanoi_problem_6_176__0,8753.511190414429,1.0,2,3.0
hanoi_problem_6_177__0,5457.107067108154,1.0,2,3.0
hanoi_problem_6_178__0,7528.88011932373,1.0,2,3.0
hanoi_problem_6_179__0,4789.841175079346,1.0,2,3.0
hanoi_problem_6_180__0,9747.751951217651,1.0,2,3.0
hanoi_problem_6_181__0,10314.321041107178,1.0,2,3.0
hanoi_problem_6_182__0,4987.866640090942,1.0,2,3.0
hanoi_problem_6_184__0,8855.582237243652,1.0,2,1.0
hanoi_problem_6_185__0,9830.476760864258,1.0,2,3.0
hanoi_problem_6_186__0,8293.744325637817,1.0,2,3.0
hanoi_problem_6_187__0,9090.98744392395,1.0,2,1.0
