Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
zBW_problem_10_117__0,2455.359459,1,2,1,6072.382212,1,2,1,5778.247833,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__29,2456.162214,1,2,1,,,,,5329.605103,1,1,
zBW_problem_12_64__0,2456.422091,1,2,1,8130.304098,1,2,1,5419.126034,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__38,2456.583977,1,2,1,,,,,5713.359356,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__55,2457.157612,1,2,1,,,,,5601.21274,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__24,2457.683563,1,2,1,,,,,5512.855768,1,1,
ferry-l6-c6__69,2457.920551,1,2,1,5467.319489,1,1,,5337.431669,1,1,
zBW_problem_10_95__0,2458.075523,1,2,1,6791.425943,1,2,1,5573.181152,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__18,2458.472013,1,2,1,,,,,5304.430723,1,1,
zBW_problem_6_118__0,2459.282637,1,2,1,7652.513266,1,2,1,9256.828785,1,2,3
zBW_problem_6_149__0,2461.269379,1,2,1,7457.644463,1,2,1,9018.042326,1,2,3
ferry-l6-c6__82,2461.375475,1,2,1,5445.604563,1,1,,5453.516006,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__32,2462.10885,1,2,1,,,,,5300.272703,1,1,
zBW_problem_6_181__0,2462.67271,1,2,1,8289.328814,1,2,1,10314.32104,1,2,3
zBW_problem_6_154__0,2463.257551,1,2,1,8062.01911,1,2,1,9404.983044,1,2,3
ferry-l6-c6__4,2466.322899,1,2,1,5815.945864,1,1,,5638.5324,1,1,
zBW_problem_6_121__0,2467.923641,1,2,1,9367.770433,1,2,1,8941.595793,1,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__19,2468.728065,1,2,1,,,,,5458.759546,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__53,2469.191313,1,2,1,,,,,5602.203608,1,1,
zBW_problem_6_111__0,2469.560623,1,2,1,5822.282553,1,2,1,7815.697193,1,2,3
ferry-l6-c6__75,2470.824957,1,2,1,5256.605864,1,1,,5684.734583,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__15,2470.854759,1,2,1,,,,,5500.93174,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__34,2471.588373,1,2,1,,,,,5467.319489,1,1,
ferry-l6-c6__60,2472.059965,1,2,1,5569.048882,1,1,,6082.446337,1,1,
zBW_problem_6_200__0,2472.37134,1,2,1,6670.273781,1,2,1,8853.712797,1,2,3
zBW_problem_6_106__0,2473.441124,1,2,1,7678.622246,1,2,1,9147.125959,1,2,1
zBW_problem_6_173__0,2473.683834,1,2,1,7579.14567,1,2,1,9751.97649,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__56,2474.513769,1,2,1,,,,,5294.813633,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__26,2474.528074,1,2,1,,,,,5509.93371,1,1,
zBW_problem_10_105__0,2474.80607,1,2,1,6603.131771,1,2,1,5310.461998,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__47,2475.166559,1,2,1,,,,,5583.742619,1,1,
ferry-l6-c6__58,2476.804972,1,2,1,5443.21084,1,1,,5389.95862,1,2,3
ferry-l6-c6__2,2476.860523,1,2,1,5304.430723,1,1,,5447.453499,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__2,2477.430105,1,2,1,,,,,5552.965403,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__27,2477.811098,1,2,1,,,,,5402.08149,1,1,
zBW_problem_6_178__0,2479.938507,1,2,1,5961.560249,1,2,1,7528.880119,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__39,2480.531454,1,2,1,,,,,5815.945864,1,1,
zBW_problem_6_123__0,2481.249094,1,2,1,5708.209038,1,2,1,7122.495174,1,2,3
