Problem-JAC,Time-JAC,Correctness-JAC,Sys-JAC,Problem-PF,Time-PF,Correctness-PF,Sys-PF,Problem-MIX,Time-MIX,Correctness-MIX,Sys-MIX,Problem-FD,Time-FD,Correctness-FD,Sys-FD
problem_12_21, 1828.12,1.0,2,problem_12_44, 23200.878620147705,0.9333333333333333,1,problem_12_42, 20622.502088546753,0.9333333333333333,1,problem_12_21, 1750.0,1.0,2
problem_12_22, 90000.0,0,-1,problem_12_45, 26662.330150604248,1.0,1,problem_12_43, 18925.22621154785,0.8666666666666667,1,problem_12_22, 90000.0,0,-1
problem_12_23, 32500.0,1.0,2,problem_12_46, 19420.44711112976,0.875,1,problem_12_44, 24185.701847076416,0.9333333333333333,1,problem_12_23, 31718.800000000003,1.0,2
problem_12_24, 90000.0,0,-1,problem_12_5, 26017.505884170532,0.8571428571428571,1,problem_12_45, 29880.237340927124,1.0,1,problem_12_24, 90000.0,0,-1
problem_12_25, 4062.5,1.0,2,problem_12_50, 27387.324333190918,0.9230769230769231,1,problem_12_46, 20520.389318466187,0.875,1,problem_12_25, 3968.75,1.0,2
problem_12_26, 1296.88,1.0,2,problem_12_6, 24618.28112602234,1.0,1,problem_12_47, 24359.79723930359,0.8571428571428571,1,problem_12_26, 1328.12,1.0,2
problem_12_27, 1625.0,1.0,2,problem_12_7, 21979.952812194824,0.8571428571428571,1,problem_12_48, 29356.03618621826,0.7692307692307693,1,problem_12_27, 1609.38,1.0,2
problem_12_28, 2015.6200000000001,1.0,2,problem_12_8, 26074.69916343689,1.0,1,problem_12_49, 21505.90944290161,0.7692307692307693,1,problem_12_28, 1937.5,1.0,2
problem_12_29, 90000.0,0,-1,problem_12_9, 28252.229928970337,1.0,1,problem_12_5, 26803.663969039917,0.8571428571428571,1,problem_12_29, 90000.0,0,-1
problem_12_3, 26296.9,1.0,2,problem_13_1, 24313.807725906372,0.5333333333333333,1,problem_12_50, 27413.38300704956,0.9230769230769231,1,problem_12_3, 25859.4,1.0,2
problem_12_30, 390.625,1.0,2,problem_13_10, 23211.506366729736,0.8125,1,problem_12_6, 24544.89755630493,1.0,1,problem_12_30, 359.375,1.0,2
problem_12_31, 90000.0,0,-1,problem_13_11, 26902.608633041382,0.7333333333333333,1,problem_12_7, 26154.098510742188,0.8571428571428571,1,problem_12_31, 90000.0,0,-1
problem_12_32, 26875.0,1.0,2,problem_13_12, 26945.25957107544,0.8,1,problem_12_8, 29135.825157165527,0.8571428571428571,1,problem_12_32, 26140.6,1.0,2
problem_12_33, 90000.0,0,-1,problem_13_13, 20143.61023902893,0.9411764705882353,1,problem_12_9, 31204.546689987183,0.9285714285714286,1,problem_12_33, 90000.0,0,-1
problem_12_34, 296.875,1.0,2,problem_13_14, 26159.681797027588,0.8,1,problem_13_1, 28845.09229660034,0.5333333333333333,1,problem_12_34, 281.25,1.0,2
problem_12_35, 90000.0,0,-1,problem_13_15, 24914.868593215942,0.7333333333333333,1,problem_13_10, 24655.57837486267,0.875,1,problem_12_35, 90000.0,0,-1
problem_12_36, 6906.25,1.0,2,problem_13_16, 90000.0,0,-1,problem_13_11, 29414.05463218689,0.6,1,problem_12_36, 6812.5,1.0,2
problem_12_37, 44671.9,1.0,2,problem_13_17, 21996.84715270996,0.7333333333333333,1,problem_13_12, 23176.77593231201,0.8666666666666667,1,problem_12_37, 43265.6,1.0,2
problem_12_38, 3578.1200000000003,1.0,2,problem_13_18, 27359.790086746216,0.7857142857142857,1,problem_13_13, 20647.916316986084,0.8235294117647058,1,problem_12_38, 3531.25,1.0,2
problem_12_39, 1437.5,1.0,2,problem_13_19, 23443.517208099365,0.9375,1,problem_13_14, 25744.423389434814,0.8666666666666667,1,problem_12_39, 1375.0,1.0,2
problem_12_4, 90000.0,0,-1,problem_13_2, 24173.516035079956,0.8,1,problem_13_15, 27269.70076560974,0.7333333333333333,1,problem_12_4, 90000.0,0,-1
problem_12_40, 156.25,1.0,2,problem_13_20, 29610.02278327942,0.6428571428571429,1,problem_13_16, 30878.146409988403,0.6,1,problem_12_40, 156.25,1.0,2
problem_12_41, 4359.38,1.0,2,problem_13_21, 21868.96800994873,0.6666666666666666,1,problem_13_17, 23114.79878425598,0.7333333333333333,1,problem_12_41, 4312.5,1.0,2
problem_12_42, 31.25,1.0,2,problem_13_24, 23632.641553878784,0.8,1,problem_13_19, 24533.038854599,0.9375,1,problem_12_42, 31.25,1.0,2
problem_12_43, 203.125,1.0,2,problem_13_25, 31297.325611114502,0.5714285714285714,1,problem_13_20, 31504.448413848877,0.5714285714285714,1,problem_12_43, 203.125,1.0,2
problem_12_44, 90000.0,0,-1,problem_13_26, 25291.67103767395,0.7142857142857143,1,problem_13_21, 21910.775661468506,0.6666666666666666,1,problem_12_44, 90000.0,0,-1
problem_12_45, 90000.0,0,-1,problem_13_27, 27696.59161567688,0.7333333333333333,1,problem_13_23, 28808.51721763611,0.6,1,problem_12_45, 90000.0,0,-1
problem_12_46, 8890.62,1.0,2,problem_13_28, 25791.91017150879,0.9333333333333333,1,problem_13_26, 27583.454370498657,0.8571428571428571,1,problem_12_46, 8734.38,1.0,2
problem_12_47, 10718.8,1.0,2,problem_13_29, 25981.6255569458,0.8,1,problem_13_27, 25733.596324920654,0.9333333333333333,1,problem_12_47, 10421.900000000001,1.0,2
problem_12_48, 90000.0,0,-1,problem_13_3, 24498.761415481567,0.875,1,problem_13_3, 25629.09173965454,0.875,1,problem_12_48, 90000.0,0,-1
problem_12_49, 57000.0,1.0,2,problem_13_30, 22251.03521347046,0.7857142857142857,1,problem_13_31, 24516.45803451538,0.6666666666666666,1,problem_12_49, 54812.5,1.0,2
problem_12_5, 6953.12,1.0,2,problem_13_31, 23295.361280441284,0.6666666666666666,1,problem_13_34, 28037.82296180725,0.6428571428571429,1,problem_12_5, 6718.75,1.0,2
problem_12_50, 843.75,1.0,2,problem_13_35, 21080.78122138977,0.875,1,problem_13_35, 21848.109006881714,0.875,1,problem_12_50, 859.375,1.0,2
problem_12_6, 593.75,1.0,2,problem_13_36, 27312.949895858765,0.7333333333333333,1,problem_13_37, 27806.73122406006,0.8,1,problem_12_6, 562.5,1.0,2
problem_12_7, 1328.12,1.0,2,problem_13_37, 27050.747394561768,0.8,1,problem_13_39, 26001.10697746277,0.8235294117647058,1,problem_12_7, 1109.38,1.0,2
